movie_title,hero_gender,hero_gender2,release_date,genre,MPAA_rating,total_gross,inflation_adjusted_gross
Armageddon,, ,1-Jul-98,Adventure,PG-13,"$201,578,182 ","$362,324,957 "
Jane Austen's Mafia,, ,24-Jul-98,Comedy,PG-13,"$19,843,795 ","$35,668,055 "
The Parent Trap,, ,29-Jul-98,Comedy,PG,"$66,308,518 ","$119,185,667 "
Firelight,, ,4-Sep-98,Drama,R,"$784,419 ","$1,409,943 "
Simon Birch,, ,11-Sep-98,Drama,PG,"$18,253,415 ","$32,809,442 "
Holy Man,, ,9-Oct-98,Comedy,PG,"$12,069,719 ","$21,694,605 "
Beloved,, ,16-Oct-98,Drama,R,"$22,852,487 ","$41,062,682 "
The Waterboy,, ,6-Nov-98,Comedy,PG-13,"$161,491,646 ","$288,691,833 "
I'll Be Home For Christmas,, ,13-Nov-98,Comedy,PG,"$12,214,338 ","$21,941,840 "
A Bug's Life,, ,20-Nov-98,Adventure,G,"$162,798,565 ","$288,981,698 "
Enemy of the State,, ,20-Nov-98,Action,R,"$111,549,836 ","$198,472,008 "
Rushmore,, ,11-Dec-98,Black Comedy,R,"$17,105,219 ","$28,392,518 "
A Civil Action,, ,25-Dec-98,Drama,PG-13,"$56,709,981 ","$94,139,530 "
Mighty Joe Young,, ,25-Dec-98,Adventure,PG,"$50,632,037 ","$87,906,042 "
My Favorite Martian,, ,12-Feb-99,Comedy,PG,"$36,850,101 ","$61,150,849 "
The Other Sister,, ,26-Feb-99,Romantic Comedy,PG-13,"$27,807,627 ","$46,145,331 "
Doug's 1st Movie,, ,26-Mar-99,Adventure,G,"$19,421,271 ","$32,228,598 "
Ten Things I Hate About You,, ,31-Mar-99,Romantic Comedy,PG-13,"$38,177,966 ","$63,354,375 "
Endurance,, ,14-May-99,,PG,"$229,128 ","$380,218 "
Instinct,, ,4-Jun-99,Drama,R,"$34,105,207 ","$56,595,842 "
Tarzan,, ,16-Jun-99,Adventure,G,"$171,091,819 ","$283,900,254 "
Summer of Sam,, ,2-Jul-99,Drama,R,"$19,288,130 ","$32,007,656 "
Inspector Gadget,, ,23-Jul-99,Comedy,PG,"$97,387,965 ","$161,610,341 "
The Sixth Sense,, ,6-Aug-99,Thriller/Suspense,PG-13,"$293,506,292 ","$485,424,724 "
The 13th Warrior,, ,27-Aug-99,Action,R,"$32,698,899 ","$54,262,148 "
Breakfast of Champions,, ,17-Sep-99,Comedy,R,"$178,287 ","$295,851 "
Mumford,, ,24-Sep-99,Comedy,R,"$4,559,569 ","$7,566,363 "
"Mystery, Alaska",, ,1-Oct-99,Comedy,R,"$8,891,623 ","$14,755,189 "
The Straight Story,, ,15-Oct-99,Drama,G,"$6,197,866 ","$10,111,144 "
The Insider,, ,5-Nov-99,Drama,R,"$28,965,197 ","$47,794,214 "
Toy Story 2,, ,19-Nov-99,Adventure,G,"$245,852,179 ","$404,450,426 "
Cradle Will Rock,, ,8-Dec-99,Drama,R,"$2,899,970 ","$4,609,153 "
Deuce Bigalow: Male Gigolo,, ,10-Dec-99,Comedy,R,"$65,535,067 ","$106,921,374 "
Bicentennial Man,, ,17-Dec-99,Drama,PG,"$58,220,776 ","$94,838,225 "
Play it to the Bone,, ,24-Dec-99,Comedy,R,"$8,427,204 ","$13,180,524 "
Fantasia 2000 (IMAX),, ,1-Jan-00,Musical,G,"$60,507,228 ","$94,852,354 "
Gun Shy,, ,4-Feb-00,Comedy,R,"$1,638,202 ","$2,562,155 "
The Tigger Movie,, ,11-Feb-00,Adventure,G,"$45,542,421 ","$71,228,678 "
Mission to Mars,, ,10-Mar-00,Adventure,PG,"$60,874,615 ","$95,208,344 "
High Fidelity,, ,31-Mar-00,Comedy,R,"$27,277,055 ","$42,661,516 "
Keeping the Faith,, ,14-Apr-00,Romantic Comedy,PG-13,"$37,036,404 ","$57,925,202 "
Dinosaur,, ,19-May-00,Adventure,PG,"$137,748,063 ","$215,438,985 "
Shanghai Noon,, ,26-May-00,Western,PG-13,"$56,932,305 ","$89,042,541 "
Gone in 60 Seconds,, ,9-Jun-00,Action,PG-13,"$101,643,008 ","$158,970,411 "
Fantasia 2000 (Theatrical Release),, ,16-Jun-00,Musical,G,"$9,103,630 ","$14,238,144 "
The Kid,, ,7-Jul-00,Comedy,PG,"$69,688,384 ","$108,993,148 "
Coyote Ugly,, ,4-Aug-00,Drama,PG-13,"$60,786,269 ","$95,070,168 "
The Crew,, ,25-Aug-00,Comedy,PG-13,"$13,019,253 ","$20,362,201 "
Duets,, ,15-Sep-00,Drama,R,"$4,734,235 ","$7,404,372 "
Remember the Titans,, ,29-Sep-00,Drama,PG,"$115,654,751 ","$180,742,479 "
Unbreakable,, ,22-Nov-00,Thriller/Suspense,PG-13,"$94,999,143 ","$148,208,901 "
102 Dalmatians,, ,22-Nov-00,Comedy,G,"$66,941,559 ","$104,055,039 "
The Emperor's New Groove,, ,15-Dec-00,Adventure,G,"$89,296,573 ","$136,789,252 "
"O Brother, Where Art Thou?",, ,22-Dec-00,Comedy,PG-13,"$45,506,619 ","$67,922,002 "
Double Take,, ,12-Jan-01,Action,PG-13,"$29,823,162 ","$44,418,589 "
Recess: School's Out,, ,16-Feb-01,Comedy,G,"$36,696,761 ","$54,656,124 "
Just Visiting,, ,6-Apr-01,Comedy,PG-13,"$4,777,007 ","$7,114,869 "
Pearl Harbor,, ,25-May-01,Action,PG-13,"$198,539,855 ","$295,705,112 "
Atlantis: The Lost Empire,, ,8-Jun-01,Adventure,PG,"$84,052,762 ","$125,188,122 "
crazy/beautiful,, ,29-Jun-01,Drama,PG-13,"$16,929,123 ","$25,214,223 "
The Princess Diaries,, ,3-Aug-01,Comedy,G,"$108,244,774 ","$161,218,928 "
Bubble Boy,, ,24-Aug-01,Comedy,PG-13,"$5,002,310 ","$7,450,434 "
Max Keeble's Big Move,, ,5-Oct-01,Comedy,PG,"$17,292,381 ","$25,749,730 "
Corky Romano,, ,12-Oct-01,Comedy,PG-13,"$23,978,402 ","$35,705,805 "
High Heels and Low Lifes,, ,26-Oct-01,,R,"$226,792 ","$337,782 "
"Monsters, Inc.",, ,2-Nov-01,Adventure,G,"$289,423,425 ","$416,073,179 "
Out Cold,, ,21-Nov-01,Comedy,PG-13,"$13,906,394 ","$20,700,691 "
The Royal Tenenbaums,, ,14-Dec-01,Black Comedy,R,"$52,353,636 ","$76,758,193 "
Beauty and the Beast (IMAX),, ,1-Jan-02,Musical,G,"$25,487,028 ","$36,980,311 "
Frank McKlusky C.I.,, ,1-Jan-02,,,$0 ,$0 
Snow Dogs,, ,18-Jan-02,Comedy,PG,"$81,150,692 ","$117,745,317 "
The Count of Monte Cristo,, ,25-Jan-02,Drama,PG-13,"$54,228,104 ","$78,682,079 "
Peter Pan: Return to Neverland,, ,15-Feb-02,Adventure,G,"$48,430,258 ","$70,269,715 "
Reign of Fire,, ,19-Feb-02,Action,PG-13,"$43,061,982 ","$62,480,631 "
Sorority Boys,, ,22-Mar-02,Comedy,R,"$10,198,766 ","$14,797,862 "
The Rookie,, ,29-Mar-02,Drama,G,"$75,600,072 ","$109,691,666 "
Big Trouble,, ,5-Apr-02,Comedy,PG-13,"$7,262,288 ","$10,537,188 "
ESPN's Ultimate X - The Movie,, ,10-May-02,Documentary,PG,"$4,197,175 ","$6,089,874 "
Bad Company,, ,7-Jun-02,Action,PG-13,"$30,157,016 ","$43,756,218 "
Lilo & Stitch,, ,21-Jun-02,Adventure,PG,"$145,771,527 ","$211,506,702 "
The Country Bears,, ,26-Jul-02,Adventure,G,"$16,988,996 ","$24,650,121 "
Signs,, ,2-Aug-02,Thriller/Suspense,PG-13,"$227,965,690 ","$330,754,439 "
Sen to Chihiro no Kamikakushi,, ,20-Sep-02,Adventure,PG,"$10,049,886 ","$14,338,992 "
Sweet Home Alabama,, ,27-Sep-02,Comedy,PG-13,"$127,214,072 ","$184,521,151 "
Moonlight Mile,, ,27-Sep-02,Drama,PG-13,"$6,830,957 ","$9,909,094 "
Tuck Everlasting,, ,11-Oct-02,Drama,PG,"$19,161,999 ","$27,789,959 "
The Santa Clause 2,, ,1-Nov-02,Comedy,G,"$139,225,854 ","$201,959,095 "
Treasure Planet,, ,27-Nov-02,Adventure,PG,"$38,120,554 ","$55,189,145 "
The Hot Chick,, ,13-Dec-02,Comedy,PG-13,"$35,081,550 ","$50,624,654 "
25th Hour,, ,19-Dec-02,Drama,R,"$13,084,595 ","$18,325,463 "
The Recruit,, ,31-Jan-03,Thriller/Suspense,PG-13,"$52,784,696 ","$73,793,522 "
Shanghai Knights,, ,7-Feb-03,Adventure,PG-13,"$60,470,220 ","$84,537,962 "
The Jungle Book 2,, ,14-Feb-03,Adventure,G,"$47,901,582 ","$66,966,883 "
Bringing Down the House,, ,7-Mar-03,Comedy,PG-13,"$132,675,402 ","$185,481,530 "
Piglet's Big Movie,, ,21-Mar-03,Comedy,G,"$23,103,423 ","$32,298,812 "
Ghosts of the Abyss,, ,11-Apr-03,Documentary,G,"$17,093,668 ","$23,803,108 "
Holes,, ,18-Apr-03,Drama,PG,"$67,383,924 ","$94,203,395 "
The Lizzie McGuire Movie,, ,2-May-03,Comedy,PG,"$42,734,455 ","$59,743,191 "
Finding Nemo,, ,30-May-03,Adventure,G,"$380,529,370 ","$518,148,559 "
Pirates of the Caribbean: The Curse o…,, ,9-Jul-03,Adventure,PG-13,"$305,411,224 ","$426,967,926 "
Freaky Friday,, ,6-Aug-03,Comedy,PG,"$110,222,438 ","$154,090,360 "
Open Range,, ,15-Aug-03,Western,R,"$58,331,254 ","$81,547,672 "
Cold Creek Manor,, ,19-Sep-03,Thriller/Suspense,R,"$21,384,035 ","$29,895,090 "
Under the Tuscan Sun,, ,26-Sep-03,Comedy,PG-13,"$43,601,508 ","$60,944,053 "
Veronica Guerin,, ,17-Oct-03,Drama,R,"$1,569,918 ","$2,194,759 "
Brother Bear,, ,24-Oct-03,Adventure,G,"$85,336,277 ","$119,218,333 "
The Haunted Mansion,, ,26-Nov-03,Comedy,PG,"$75,817,994 ","$105,775,678 "
Calendar Girls,, ,19-Dec-03,Comedy,PG-13,"$31,011,616 ","$42,379,650 "
Young Black Stallion,, ,25-Dec-03,Adventure,G,"$6,751,389 ","$9,254,344 "
Teacher's Pet: The Movie,, ,16-Jan-04,Comedy,PG,"$6,491,969 ","$8,812,764 "
Miracle,, ,6-Feb-04,Drama,PG,"$64,378,093 ","$87,392,478 "
Confessions of a Teenage Drama Queen,, ,20-Feb-04,Comedy,PG,"$29,331,068 ","$39,816,568 "
Hidalgo,, ,5-Mar-04,Western,PG-13,"$67,286,731 ","$91,340,921 "
The Ladykillers,, ,26-Mar-04,Comedy,R,"$39,692,139 ","$53,881,593 "
Home on the Range,, ,2-Apr-04,Comedy,PG,"$50,026,353 ","$67,910,166 "
The Alamo,, ,9-Apr-04,Western,PG-13,"$22,406,362 ","$30,416,359 "
Raising Helen,, ,28-May-04,Comedy,PG-13,"$37,485,528 ","$50,886,144 "
Around the World in 80 Days,, ,16-Jun-04,Adventure,PG,"$24,004,159 ","$32,585,356 "
America's Heart and Soul,, ,2-Jul-04,Documentary,Not Rated,"$314,000 ","$426,246 "
King Arthur,, ,7-Jul-04,Adventure,PG-13,"$51,877,963 ","$70,423,706 "
The Village,, ,30-Jul-04,Thriller/Suspense,PG-13,"$114,197,520 ","$155,021,748 "
The Princess Diaries 2: Royal Engagement,, ,11-Aug-04,Romantic Comedy,G,"$95,149,435 ","$129,164,207 "
Mr. 3000,, ,17-Sep-04,Comedy,PG-13,"$21,800,302 ","$29,593,641 "
The Last Shot,, ,24-Sep-04,Comedy,R,"$463,730 ","$629,502 "
Ladder 49,, ,1-Oct-04,Action,PG-13,"$74,541,707 ","$101,161,045 "
The Incredibles,, ,5-Nov-04,Adventure,PG,"$261,441,092 ","$354,488,708 "
National Treasure,, ,19-Nov-04,Adventure,PG,"$173,005,002 ","$234,069,353 "
The Life Aquatic with Steve Zissou,, ,10-Dec-04,Comedy,R,"$24,006,726 ","$32,198,655 "
Aliens of the Deep,, ,28-Jan-05,Documentary,G,"$8,968,684 ","$11,740,942 "
Pooh's Heffalump Movie,, ,11-Feb-05,Adventure,G,"$18,098,433 ","$23,801,835 "
The Pacifier,, ,4-Mar-05,Comedy,PG,"$113,006,880 ","$148,619,029 "
Ice Princess,, ,18-Mar-05,Comedy,G,"$24,381,334 ","$32,064,685 "
A Lot Like Love,, ,22-Apr-05,Comedy,PG-13,"$21,835,784 ","$28,716,947 "
The Hitchhiker's Guide to the Galaxy,, ,29-Apr-05,Comedy,PG,"$51,019,112 ","$67,096,891 "
Hauru no ugoku shiro,, ,10-Jun-05,Adventure,PG,"$4,710,455 ","$6,194,870 "
Herbie: Fully Loaded,, ,22-Jun-05,Comedy,G,"$66,010,682 ","$86,812,798 "
Dark Water,, ,8-Jul-05,Thriller/Suspense,PG-13,"$25,473,093 ","$33,500,491 "
Sky High,, ,29-Jul-05,Adventure,PG,"$63,939,454 ","$84,088,854 "
Valiant,, ,19-Aug-05,Adventure,G,"$19,478,106 ","$25,616,292 "
Flightplan,, ,23-Sep-05,Thriller/Suspense,PG-13,"$89,706,988 ","$117,960,425 "
The Greatest Game Ever Played,, ,30-Sep-05,Drama,PG,"$15,331,289 ","$20,162,672 "
Shopgirl,, ,21-Oct-05,Drama,R,"$10,284,523 ","$13,519,621 "
Chicken Little,, ,4-Nov-05,Adventure,G,"$135,386,665 ","$177,954,661 "
"The Chronicles of Narnia: The Lion, t…",, ,9-Dec-05,Adventure,PG,"$291,710,957 ","$381,557,539 "
Casanova,, ,25-Dec-05,Drama,R,"$11,304,403 ","$14,574,087 "
Glory Road,, ,13-Jan-06,Drama,PG,"$42,647,449 ","$54,888,236 "
Annapolis,, ,27-Jan-06,Drama,PG-13,"$17,127,992 ","$22,044,113 "
Roving Mars,, ,27-Jan-06,Documentary,G,"$10,407,978 ","$12,948,025 "
Eight Below,, ,17-Feb-06,Adventure,PG,"$81,612,565 ","$105,037,235 "
The Shaggy Dog,, ,10-Mar-06,Comedy,PG,"$61,123,569 ","$78,667,428 "
Stay Alive,, ,24-Mar-06,Horror,PG-13,"$23,086,480 ","$29,712,825 "
The Wild,, ,14-Apr-06,Adventure,G,"$37,384,046 ","$48,114,115 "
Stick It,, ,28-Apr-06,Comedy,PG-13,"$26,910,736 ","$34,634,731 "
Goal! The Dream Begins,, ,12-May-06,Drama,PG,"$4,283,255 ","$5,512,647 "
Cars,, ,9-Jun-06,Comedy,G,"$244,082,982 ","$314,140,384 "
Pirates of the Caribbean: Dead Man’…,, ,7-Jul-06,Adventure,PG-13,"$423,315,812 ","$544,817,142 "
Step Up,, ,11-Aug-06,Drama,PG-13,"$65,328,121 ","$84,078,780 "
Invincible,, ,25-Aug-06,Drama,PG,"$57,806,952 ","$74,398,864 "
The Guardian,, ,29-Sep-06,Action,PG-13,"$55,011,732 ","$70,801,353 "
The Prestige,, ,20-Oct-06,Thriller/Suspense,PG-13,"$53,089,891 ","$68,289,913 "
Tim Burton's The Nightmare Before Chr…,, ,20-Oct-06,Musical,PG,"$24,732,041 ","$30,737,517 "
The Santa Clause 3: The Escape Clause,, ,3-Nov-06,Comedy,G,"$84,500,122 ","$108,694,869 "
Déjà Vu,, ,22-Nov-06,Thriller/Suspense,PG-13,"$64,038,616 ","$82,267,038 "
Apocalypto,, ,8-Dec-06,Adventure,R,"$50,866,635 ","$64,959,548 "
Primeval,, ,12-Jan-07,Adventure,R,"$10,597,734 ","$12,985,302 "
Bridge to Terabithia,, ,16-Feb-07,Drama,PG,"$82,234,139 ","$100,760,721 "
Wild Hogs,, ,2-Mar-07,Comedy,PG-13,"$168,213,584 ","$206,110,533 "
Meet the Robinsons,, ,30-Mar-07,Adventure,G,"$97,822,171 ","$119,860,589 "
The Lookout,, ,30-Mar-07,Drama,R,"$4,600,585 ","$5,637,048 "
The Hoax,, ,6-Apr-07,Drama,R,"$7,164,995 ","$8,779,196 "
The Invisible,, ,27-Apr-07,Thriller/Suspense,PG-13,"$20,568,319 ","$25,202,168 "
Pirates of the Caribbean: At World’…,, ,24-May-07,Adventure,PG-13,"$309,420,425 ","$379,129,960 "
Ratatouille,, ,29-Jun-07,Comedy,G,"$206,445,654 ","$252,955,933 "
Underdog,, ,3-Aug-07,Adventure,PG,"$43,760,605 ","$53,619,462 "
The Game Plan,, ,22-Sep-07,Comedy,PG,"$90,648,202 ","$111,010,758 "
Dan in Real Life,, ,20-Oct-07,Romantic Comedy,PG-13,"$47,642,963 ","$58,350,234 "
Enchanted,, ,21-Nov-07,Romantic Comedy,PG,"$127,706,877 ","$156,074,310 "
National Treasure 2: Book of Secrets,, ,21-Dec-07,Adventure,PG,"$219,961,501 ","$267,003,525 "
Hannah Montana/Miley Cyrus: Best of B…,, ,1-Feb-08,Concert/Performance,G,"$65,281,781 ","$76,646,993 "
Step Up 2 the Streets,, ,14-Feb-08,Drama,PG-13,"$58,017,783 ","$68,118,371 "
College Road Trip,, ,7-Mar-08,Comedy,G,"$45,610,425 ","$53,550,960 "
The Chronicles of Narnia: Prince Caspian,, ,16-May-08,Adventure,PG,"$141,621,490 ","$166,277,038 "
WALL-E,, ,27-Jun-08,Adventure,G,"$223,808,164 ","$262,771,918 "
Swing Vote,, ,1-Aug-08,Comedy,PG-13,"$16,289,867 ","$19,125,841 "
Goal! 2: Living the Dream...,, ,29-Aug-08,Drama,PG-13,"$225,067 ","$264,247 "
Miracle at St. Anna,, ,26-Sep-08,Drama,R,"$7,916,887 ","$9,295,171 "
Beverly Hills Chihuahua,, ,3-Oct-08,Comedy,PG,"$94,514,402 ","$110,932,022 "
Morning Light,, ,17-Oct-08,Documentary,PG,"$275,093 ","$322,979 "
High School Musical 3: Senior Year,, ,24-Oct-08,Musical,G,"$90,559,416 ","$106,308,538 "
Bolt,, ,21-Nov-08,Comedy,PG,"$114,053,759 ","$133,702,498 "
Bedtime Stories,, ,25-Dec-08,Comedy,PG,"$110,101,975 ","$128,039,679 "
Confessions of a Shopaholic,, ,13-Feb-09,Romantic Comedy,PG,"$44,277,350 ","$49,767,744 "
Jonas Brothers: The 3D Concert Experi…,, ,27-Feb-09,Concert/Performance,G,"$38,174,685 ","$38,174,685 "
Race to Witch Mountain,, ,13-Mar-09,Adventure,PG,"$67,172,594 ","$75,501,997 "
Hannah Montana the Movie,, ,10-Apr-09,Drama,G,"$79,576,189 ","$89,443,640 "
Earth,, ,22-Apr-09,Documentary,G,"$32,011,576 ","$35,981,010 "
Up,, ,29-May-09,Adventure,PG,"$293,004,164 ","$329,336,681 "
The Proposal,, ,19-Jun-09,Romantic Comedy,PG-13,"$163,958,031 ","$184,288,829 "
G-Force,, ,24-Jul-09,Adventure,PG,"$119,436,770 ","$134,246,932 "
Gake no ue no Ponyo,, ,14-Aug-09,Adventure,G,"$15,090,399 ","$16,961,607 "
X Games 3D: The Movie,, ,21-Aug-09,Documentary,PG,"$1,391,434 ","$1,563,976 "
Walt and El Grupo,, ,10-Sep-09,Documentary,PG,"$20,521 ","$23,064 "
Surrogates,, ,25-Sep-09,Action,PG-13,"$38,577,772 ","$43,361,416 "
Toy Story 3D Double Feature,, ,2-Oct-09,Adventure,G,"$30,702,446 ","$34,509,545 "
Disney's A Christmas Carol,, ,6-Nov-09,Drama,PG,"$137,855,863 ","$154,927,105 "
The Princess and the Frog,, ,25-Nov-09,Adventure,G,"$104,400,899 ","$116,316,457 "
Old Dogs,, ,25-Nov-09,Comedy,PG,"$49,492,060 ","$55,503,929 "
When in Rome,, ,29-Jan-10,Romantic Comedy,PG-13,"$32,680,633 ","$34,917,330 "
Alice in Wonderland,, ,5-Mar-10,Adventure,PG,"$334,191,110 ","$357,063,499 "
Waking Sleeping Beauty,, ,26-Mar-10,Documentary,PG,"$80,741 ","$86,264 "
The Last Song,, ,31-Mar-10,Drama,PG,"$62,950,384 ","$67,258,772 "
Oceans,, ,22-Apr-10,Documentary,G,"$19,422,319 ","$20,751,600 "
Prince of Persia: Sands of Time,, ,28-May-10,Action,PG-13,"$90,759,676 ","$96,971,361 "
Toy Story 3,, ,18-Jun-10,Adventure,G,"$415,004,880 ","$443,408,255 "
The Sorcerer's Apprentice,, ,14-Jul-10,Adventure,PG,"$63,150,991 ","$67,473,105 "
Step Up 3D,, ,6-Aug-10,Drama,PG-13,"$42,400,223 ","$45,302,137 "
Gedo Senki (Tales from Earthsea),, ,13-Aug-10,Adventure,PG-13,"$48,658 ","$51,988 "
You Again,, ,24-Sep-10,Comedy,PG,"$25,702,053 ","$27,461,121 "
Secretariat,, ,8-Oct-10,Drama,PG,"$59,699,513 ","$63,781,920 "
Tangled,, ,24-Nov-10,Adventure,PG,"$200,821,936 ","$214,388,548 "
Tron: Legacy,, ,17-Dec-10,Adventure,PG,"$172,062,763 ","$183,619,259 "
Gnomeo and Juliet,, ,11-Feb-11,Comedy,G,"$99,967,670 ","$106,270,797 "
I am Number Four,, ,18-Feb-11,Adventure,PG-13,"$55,100,437 ","$58,574,607 "
Mars Needs Moms,, ,11-Mar-11,Adventure,PG,"$21,392,758 ","$22,741,603 "
African Cats,, ,22-Apr-11,Documentary,G,"$15,428,747 ","$16,401,551 "
Zokkomon,, ,22-Apr-11,Adventure,PG,"$2,815 ","$2,984 "
Prom,, ,29-Apr-11,Comedy,PG,"$10,130,219 ","$10,768,946 "
Pirates of the Caribbean: On Stranger…,, ,20-May-11,Adventure,PG-13,"$241,063,875 ","$256,263,359 "
Cars 2,, ,24-Jun-11,Adventure,G,"$191,450,875 ","$203,522,177 "
Winnie the Pooh,, ,15-Jul-11,Adventure,G,"$26,692,846 ","$28,375,869 "
The Help,, ,10-Aug-11,Drama,PG-13,"$169,705,587 ","$180,404,976 "
Fright Night,, ,19-Aug-11,Horror,R,"$18,298,649 ","$19,452,402 "
Real Steel,, ,7-Oct-11,Action,PG-13,"$85,463,309 ","$90,848,019 "
The Muppets,, ,23-Nov-11,Comedy,PG,"$88,625,922 ","$94,189,503 "
War Horse,, ,25-Dec-11,Drama,PG-13,"$79,883,359 ","$84,762,149 "
The Secret World of Arietty,, ,17-Feb-12,Adventure,G,"$19,192,510 ","$20,325,733 "
John Carter,, ,9-Mar-12,Adventure,PG-13,"$73,058,679 ","$77,372,445 "
Chimpanzee,, ,20-Apr-12,Documentary,G,"$28,965,459 ","$30,675,725 "
The Avengers,, ,4-May-12,Action,PG-13,"$623,279,547 ","$660,081,224 "
Brave,, ,22-Jun-12,Adventure,PG,"$237,282,182 ","$251,292,441 "
People Like Us,, ,29-Jun-12,Drama,PG-13,"$12,431,792 ","$13,165,822 "
The Odd Life of Timothy Green,, ,15-Aug-12,Drama,PG,"$51,853,450 ","$54,914,942 "
Frankenweenie,, ,5-Oct-12,Comedy,PG,"$35,287,788 ","$37,363,513 "
Wreck-It Ralph,, ,2-Nov-12,Adventure,PG,"$189,412,677 ","$200,354,959 "
Lincoln,, ,9-Nov-12,Drama,PG-13,"$182,207,973 ","$192,122,330 "
Oz the Great and Powerful,, ,8-Mar-13,Adventure,PG,"$234,770,996 ","$243,434,130 "
Iron Man 3,, ,3-May-13,Action,PG-13,"$408,992,272 ","$424,084,233 "
Monsters University,, ,21-Jun-13,Adventure,G,"$268,488,329 ","$278,395,641 "
The Lone Ranger,, ,2-Jul-13,Western,PG-13,"$89,302,115 ","$92,597,388 "
Disney Planes,, ,9-Aug-13,Comedy,PG,"$90,282,580 ","$93,614,037 "
The Fifth Estate,, ,18-Oct-13,Drama,R,"$3,254,172 ","$3,374,251 "
Thor: The Dark World,, ,8-Nov-13,Adventure,PG-13,"$206,362,140 ","$213,962,184 "
Kaze Tachinu,, ,8-Nov-13,Drama,PG-13,"$5,201,879 ","$5,367,415 "
Frozen,, ,22-Nov-13,Adventure,PG,"$400,738,009 ","$414,997,174 "
Delivery Man,, ,22-Nov-13,Comedy,PG-13,"$30,659,817 ","$31,787,136 "
Saving Mr. Banks,, ,13-Dec-13,Drama,PG-13,"$83,299,761 ","$86,249,969 "
Need for Speed,, ,14-Mar-14,Action,PG-13,"$43,568,507 ","$44,955,015 "
Muppets Most Wanted,, ,21-Mar-14,Comedy,PG,"$51,178,893 ","$52,807,594 "
Captain America: The Winter Soldier,, ,4-Apr-14,Action,PG-13,"$259,746,958 ","$268,013,076 "
Bears,, ,18-Apr-14,Documentary,G,"$17,780,194 ","$18,346,024 "
Million Dollar Arm,, ,10-May-14,Drama,PG,"$36,447,959 ","$37,607,865 "
Maleficent,, ,30-May-14,Adventure,PG,"$241,407,328 ","$249,089,809 "
Planes: Fire and Rescue,, ,18-Jul-14,Adventure,PG,"$59,157,732 ","$61,040,349 "
Guardians of the Galaxy,, ,1-Aug-14,Adventure,PG-13,"$333,172,112 ","$343,771,168 "
The Hundred-Foot Journey,, ,8-Aug-14,Romantic Comedy,PG,"$54,235,441 ","$55,961,409 "
"Alexander and the Terrible, Horrible,…",, ,10-Oct-14,Comedy,PG,"$66,954,149 ","$69,055,550 "
Big Hero 6,, ,7-Nov-14,Adventure,PG,"$222,527,828 ","$229,249,222 "
Into the Woods,, ,25-Dec-14,Musical,PG,"$128,002,372 ","$130,894,237 "
Strange Magic,, ,23-Jan-15,Adventure,PG,"$12,429,583 ","$12,429,583 "
"McFarland, USA",, ,20-Feb-15,Drama,PG,"$44,480,275 ","$44,480,275 "
Cinderella,, ,13-Mar-15,Drama,PG,"$201,151,353 ","$201,151,353 "
Monkey Kingdom,, ,17-Apr-15,Documentary,G,"$16,432,322 ","$16,432,322 "
Avengers: Age of Ultron,, ,1-May-15,Action,PG-13,"$459,005,868 ","$459,005,868 "
Tomorrowland,, ,22-May-15,Adventure,PG,"$93,436,322 ","$93,436,322 "
Inside Out,, ,19-Jun-15,Adventure,PG,"$356,461,711 ","$356,461,711 "
Ant-Man,, ,17-Jul-15,Action,PG-13,"$180,202,163 ","$180,202,163 "
Bridge of Spies,, ,16-Oct-15,Thriller/Suspense,PG-13,"$72,313,754 ","$72,313,754 "
The Good Dinosaur,, ,25-Nov-15,Adventure,PG,"$123,087,120 ","$123,087,120 "
Star Wars Ep. VII: The Force Awakens,, ,18-Dec-15,Adventure,PG-13,"$936,662,225 ","$936,662,225 "
The Finest Hours,, ,29-Jan-16,Thriller/Suspense,PG,"$27,569,558 ","$27,569,558 "
Zootopia,, ,4-Mar-16,Adventure,PG,"$341,268,248 ","$341,268,248 "
The Jungle Book,, ,15-Apr-16,Adventure,PG,"$364,001,123 ","$364,001,123 "
A Beautiful Planet,, ,29-Apr-16,Documentary,G,"$7,895,708 ","$7,895,708 "
Captain America: Civil War,, ,6-May-16,Action,PG-13,"$408,084,349 ","$408,084,349 "
Alice Through the Looking Glass,, ,27-May-16,Adventure,PG,"$77,042,381 ","$77,042,381 "
Finding Dory,, ,17-Jun-16,Adventure,PG,"$486,295,561 ","$486,295,561 "
The BFG,, ,1-Jul-16,Adventure,PG,"$55,483,770 ","$55,483,770 "
Pete’s Dragon,, ,12-Aug-16,Adventure,PG,"$76,233,151 ","$76,233,151 "
The Light Between Oceans,, ,2-Sep-16,Drama,PG-13,"$12,545,979 ","$12,545,979 "
Queen of Katwe,, ,23-Sep-16,Drama,PG,"$8,874,389 ","$8,874,389 "
Doctor Strange,, ,4-Nov-16,Adventure,PG-13,"$232,532,923 ","$232,532,923 "
Moana,, ,23-Nov-16,Adventure,PG,"$246,082,029 ","$246,082,029 "
Rogue One: A Star Wars Story,, ,16-Dec-16,Adventure,PG-13,"$529,483,936 ","$529,483,936 "
